name,avg_price,recommended_dishes
廿門冰室(君庭广场店),￥39,叉烧滑蛋饭、香煎鸡扒双蛋饭、冻柠茶
VQ鲜榨果汁(上海合生汇店),￥22,鲜榨果汁、百香果梨汁、超级果粒芒
嘎亮手工小笼(合生汇店),￥25,招牌辣肉面、小笼、开洋葱油拌面
米小嗝东北砂锅米线(五角场店),￥23,原切肥牛米线、鱼丸刀削面、豆芽
YOHO CAFE·音咖,￥24,金鱼气泡饮、香草奶丸子拿铁、超丝滑浓郁拿铁
无狄抓饭·新疆清真烧烤,￥33,羊肉抓饭、羊肉大串烤肉、果缤纷抓饭
和府捞面(黄兴路大润发店),￥33,草本骨汤豚骨面、草本酸辣肥牛面、高端1号精品牛肉面
子固路老南昌拌粉(太平洋森活天地店),￥25,牛肉拌粉、牛肚拌粉、光拌粉
沪上庄记白斩鸡(五角场万达店),￥37,白斩鸡整、口水鸡、特色鸡油拌饭
塔斯汀中国汉堡(杨浦政通路店),￥20,香辣鸡腿中国汉堡、冰柠可乐、藤椒鸡腿堡
FOODBOWL超级碗(江湾里MEET678店),￥37,蜜汁鸡腿超级碗、果木烟熏鸡胸超级碗、番茄牛腩超级碗
吴茂兴本帮面(国定路店),￥21,葱油拌面、银芽肉丝凉面、咳嗽辣肉糜面
爱茜茜里·Gelato(五角场万达店),￥30,天然薄荷、薄荷巧克力、芝士海盐
仝TONIC·BAR(大学路店),￥28,浆果大爆炸、弗洛伊德玫瑰、屠苏
卤八怪·现捞热卤(城市集市合生汇店),￥39,鸭爪、鸭头、鹌鹑蛋
苏式绿豆汤专门店(五角场店),￥28,招牌苏式绿豆汤、上海绿豆汤、全家福
灶上春现炒面馆(国权路店),￥22,酱爆猪肝腰花肉丝拌川、酱爆猪肝拌面、香辣鱼片虾仁拌面
肯德基(太平洋森活天地店),￥26,吮指原味鸡(1块装)、香辣鸡腿堡、热辣香骨鸡（3块装）
老韩煸鸡(太平洋森活天地店),￥28,辣子鸡贝贝、招牌无骨辣子鸡、干煸开花鸡腿
陇上秦轩西安biangbiang面(杨浦大润发店),￥26,西安biangbiang面、腊汁肉夹馍、研磨芝麻酱凉皮
读酥世家(三门路店),￥28,猪扒包、拿破仑、牛奶棒
老北京饺子馆(政通路店),￥28,猪肉茴香、南瓜小米粥、鸡蛋西葫芦
俩面派-现炒浇头面馆,￥29,鳝背、焖肉面、金牌双菇面
老盛昌(四平店),￥20,苏州汤包、辣肉素三丝拌面、虾肉馄饨
吴可心东北麻辣烫,￥22,东北老式麻辣烫、全菜牛筋面麻辣烫、七荤九素东北麻辣烫
马记永·兰州牛肉面(黄兴路大润发店),￥35,酸菜牛腱兰州牛肉面、牛腱拉面、钢钎羊肉
糖优滋(五角场万达店),￥30,千层蛋挞、牛奶棒、绿豆糕
沪上绍鼎鸡·三黄鸡·粥汤面(合生汇店),￥35,鸡腿部之一、白斩鸡、鸡汁面
沈大成(五角场万达第一食品店),￥26,双酿团、鲜肉月饼、香菇肉丁烧卖
花亦汀韩国料理(五角场店),￥33,单人部队锅、泡菜五花肉石锅拌饭、黑胡椒鸡腿卷
辣辣香传统特色辣肉面馆(姐妹店),￥25,辣辣香招牌辣肉面、辣肉兰花豆腐干面、咸菜
大富贵(政本路店),￥27,排骨年糕、鲜肉锅贴、三鲜小馄饨
左阿婆崇明馄饨(关山路店),￥21,荠菜馄饨、鲜竹笋藤椒鸡肉馄饨、芹菜鲜肉馄饨
矮子老鸭粉丝汤(百联又一城购物中心店),￥23,鲜肉锅贴、经典老鸭粉丝汤、鸭肠
小鱼私房,￥23,杏皮水、海苔虾仁馄饨、蛋黄鲜肉馄饨
申梦本帮面馆,￥32,申梦黄鱼面、酱爆腰花、葱油拌面
THE PRESS(复旦大学校友馆店),￥29,旦源拿铁、灿烂美式
楚东君襄阳牛肉面(五角场店),￥26,经典襄阳牛肉面、招牌襄阳牛杂面、襄阳黄酒
小天鹅捞烫时代(国权路店),￥26,麻辣烫、土豆片、海带丝
留夫鸭(杨浦合生汇店),￥39,五香土鸭、招牌素拌菜、发财猪蹄
DAKK大可炸鸡(五角场店),￥34,半半炸鸡、红辣芝士炸鸡、芝士红薯条
肯德基(国华店),￥34,吮指原味鸡(1块装)、黄金鸡块(5块装)、劲爆鸡米花
多乐之日(国华广场店),￥35,奶油号角、酥菠萝包、脏脏包
THE PRESS(复旦大学店),￥34,澳白、萨拉米香肠披萨、蘑菇香肠披萨
啊臻味道·新疆炒米粉(五角场店),￥27,酱香芹菜鸡肉炒米粉、牛肉馕饼米粉双拼、酱香牛肉炒米粉
满巍明生炸鸡架(五角场百联又一城店),￥24,生炸鸡架、究极鸡腿肉、巨炸甘梅地瓜
鼓嘚粉,￥29,经典牛肉粉、羊杂面、羊肉粉
马记永·兰州牛肉面(鑫和吉浦天地店),￥34,牛腱子兰州牛肉面、钢钳羊肉小串、牛肉夹馍
老表米粉铺,￥30,鸡蛋肉丝炒粉、皮蛋肉坨瓦罐汤、猪肝肉丝炒粉
八百里秦味(五角场店),￥31,脆皮肥瘦肉夹馍、油泼Biangbiang面、酸汤臊子面
朱栢福广东肠粉(政民路店),￥20,福鼎肉片、双蛋肉肠粉、干炒牛河
蒙自源米线大王(杨浦国正中心店),￥23,傣味酸汤米线、原汤一品土鸡米线、番茄肥牛米线
融柳大铁牛螺蛳粉(五角场店),￥21,原味螺蛳粉、腐竹、干捞螺蛳粉
大米先生(创智天地店),￥28,农家小炒肉、西红柿炒鸡蛋、爆炒牛肉
Kiwi Kraze奇兹(太平洋森活天地店),￥26,希腊酸奶、草莓牛油果酸奶、松露巧克力
鹅佬柒铺·香港烧腊饭(五角场店),￥38,鹅三拼饭、玫瑰豉油鸡、金烤吊烧鸭
花溪牛肉粉(政高路店),￥30,原汤牛肉粉、全家福牛肉粉、油炸小花生和腌制酸萝卜
碗与锅土豆粉(政民路店),￥21,招牌醇香土豆粉、小酥肉、麻辣面筋
鴻瑞興面馆(武东店),￥25,蟹壳黄甜、葱油拌面、蟹壳黄咸
阿佑鲜烫牛肉米线(国权路店),￥23,鲜烫牛肉米线、云南炸酱米线、鲜烫牛吊龙
嗨炒嗨炒·土鸡蛋炒饭(杨浦国华广场店),￥26,经典火腿土鸡蛋炒饭、红葱牛肉土鸡蛋炒饭、老火排骨汤
不二烫捞麻辣烫(国华广场店),￥32,
好饭芝造焗(五角场店),￥30,桃木烟熏香肠焗饭、香香盐酥鸡、奶油培根蘑菇焗饭
拌将麻辣拌·麻辣烫(五角场店),￥29,劲爽方便面、腐皮三鲜卷、土豆片
延吉妈妈朝鲜族拌饭,￥24,延吉妈妈朝鲜族辣白菜、朝鲜族米酒、延吉妈妈朝鲜族拌桔梗丝
牛肉汤小馆,￥23,牛肉汤、拆骨肉炒饭、锅巴馍
1973继光香香鸡(百联又一城店),￥30,香香炸鸡、酥炸鱿鱼、避风塘风味杏鲍鱼菇
麦当劳(上海宝山吉浦路店),￥27,薯条、麦辣鸡翅、原味板烧鸡腿堡
SUBWAY赛百味(财大科技园店),￥30,香溢金枪鱼三明治、任意风味曲奇、金枪鱼照烧鸡双拼三明治
南大门韩糕(五角场店),￥28,红豆切糕、手作桂花糕、黑豆切糕
鱼你在一起(黄兴大润发店),￥38,老坛酸菜鱼、青花椒酸菜鱼、公举番茄鱼
鲜鼎鸡,￥31,白斩鸡、鸡汤面、血汤
禾日町饭团(太平洋森活天地店),￥23,油沙咸蛋黄、原味饭团、金枪鱼牛油果饭团
老乡鸡(国华广场店),￥31,肥西老母鸡汤、农家小炒肉、农家蒸蛋
酸小七(国华广场店),￥29,柠檬椒麻鱼、豆腐花酸菜鱼、番茄酸汤鱼
李记广味烧腊店,￥27,烧鸭拼手撕鸡饭、烧鸭拼叉烧饭、咖喱掌中宝饭
汉堡王(颐高数码店),￥30,皇堡、王道嫩香鸡块、薯霸王
渝八两重庆鸡公煲(五角场店),￥27,方便面、招牌鸡公煲、千张
麦当劳(杨浦财大科技园店),￥29,麦辣鸡腿汉堡、麦辣鸡翅、麦麦脆汁鸡（琵琶腿）
沪小爪·白斩鸡·鸡汤面(三门路店),￥27,原味鸡汁汤面、招牌原味鸡汤、辣肉
三米粥铺·煎饺(长海路店),￥22,招牌煎饺、青稞燕麦桂花紫薯粥、台式卤肉饭
蘭甄亭蘭州牛肉面(杨浦区政高路店),￥24,传统牛肉面、牛肉炒拉条、手抓羊肉
袁记云饺(上海市杨浦区长海路店),￥20,鲜虾蟹籽云吞、玉米鲜肉饺、全家福饺子
暖爸鲜米酒(大学路店),￥32,桂花鲜米酒、原味仙米酒、荔枝仙米酒
阿佑鲜烫牛肉米线(大学路店),￥23,招牌鲜烫牛肉米线、招牌云南炸酱米线、网红炸蛋
肯德基(新邯郸店),￥28,吮指原味鸡(1块装)、醇香土豆泥、新奥尔良烤翅（2块装）
四海游龙(国定路店),￥27,原味锅贴、招牌酸辣汤、台南肉燥拌面
新繁华汤包馆(三门路店),￥30,蟹黄汤包、爆炒腰花、咸豆浆
苏香稻庄,￥21,海鲜面、福州冰饭、西红柿鸡蛋青菜面
老香齋(五角场店),￥40,老香斋芝士咸味蝴蝶酥、老香斋鸡仔饼、袜底酥
张拉拉兰州手撕牛肉面(五角场店),￥29,招牌手撕牛肉面、兰州经典2号牛腱子牛肉面、小菜四拼
