name,avg_price,recommended_dishes
万州烤鱼,￥92,烤黑鱼、招牌十三香螺丝、招牌馋嘴牛蛙
锦府园(合生汇店),￥157,锦府去骨爆鱼、拆烩黄鱼羹、锦府脆皮牛肉
江南晓馆(合生汇店),￥115,低温慢烤牛菲力、话梅熟醉虾、宋嫂鱼羹
阳发私房菜(吉浦路店),￥88,白斩鸡、椒盐龙头烤、水晶虾仁
Ameigo梅果·云贵川bistro(大学路店),￥105,黑松露菌子焖饭、铜锅油焖鸡、洱海手撕海鲈鱼
肆友问道·和牛烧肉小酒馆·夜宵(大学路店),￥105,烧汁牛小排、厚切牛舌、薄烧雪花牛排
卿家姆小馆·酒料熟醉·宁波小鲜(大学路店),￥144,熟醉沼虾、油淋醉膏蟹、葱油东海小管
沸点计划火锅(上海首店),￥135,招牌八秒牛肉、草本原汤四川牛油辣锅、金姬山野四菌
肥仔荣火锅(五角场店),￥112,大鲍鱼、鲜切牛肉、黑虎虾
荆九爷桥头三嫩(五角场店),￥82,九秒腰花、香醋炒土鸡蛋、爆炒雪花吊龙牛肉
林记猪杂粥觅味馆(杨浦店),￥83,猪杂粥、枸杞叶、潮汕虾饼
值久·烧鸟居酒屋(五角场店),￥95,炭烤活鳗鱼饭、柚子醋鸡皮、烧鸟
左庭右院鲜牛肉火锅(五角场合生汇店),￥136,招牌牛腩鸳鸯锅、匙皮肉、茉莉虾滑
宴平乐·本帮江浙菜,￥118,八珍烤鸭、上海本帮熏鱼、葱香元宝虾
福鼓鮨.河豚蟹料理(五角场店),￥225,严选澳洲和牛蒸笼、河豚鱼姿造、獭祭酒粕锅
玛尚诺意式餐厅(国华广场店),￥89,人气皇太后披萨、黑松露薯条、北京烤鸭比萨
小吊梨汤·北京菜·烤鸭(五角场万达店),￥98,茉莉烤鸭、小吊梨汤、传统梨汤壶
宴霸·小馆,￥83,新派红烧肉、宴霸秘境鱼片、烧椒小葱豆腐
LOKAL(江湾里店),￥104,烟熏三文鱼班尼迪克蛋、BBQ鸡肉牛油果色拉、双重芝士黑松露温泉蛋薄脆披萨
无术 Bistro·中式小酒馆,￥123,百香果鱼、橙香橄榄炖牛肉、油鸡纵色拉
