name,avg_price,recommended_dishes
CHARLIE'S粉红汉堡(五角场万达店),￥53,芝士汉堡、健康汉堡、芥末蜂蜜鸡翅
西北合·宁夏盐池滩羊(同济大学店),￥78,风味大盘鸡、炒面片、奶茶
椒锅锅·麻辣香锅(国华广场店),￥48,肥牛片、鲜牛蛙、炸酥肉
彼得家牧场(百联又一城店),￥68,澳洲谷饲安格斯西冷牛排、谷饲肋眼牛排、谷饲安格斯肋眼
猫妃榴莲披萨(太平洋森活天地店),￥49,猫妃爆浆榴莲披萨、猫妃炸弹榴莲披萨、猫妃黑金榴莲紫薯披萨
春夏有酒云南特色菜·经典牦牛骨汤面,￥69,风味香酥茄子、版纳蕉叶烤鱼、走地鸡米线
成都你六姐·牛肉冒菜(城市集市合生汇店),￥45,嫩牛肉、红糖冰粉、生菜
AlphaSeedsCoffee 阿發咖啡,￥43,澳白、提拉米苏、冰美式
相聚吉林特色烧烤(学府街店),￥76,凉爽冷面、羊肉串、掌中宝
乐凯撒披萨(合生汇二店),￥61,爆果肉金枕榴莲比萨、榴莲披萨新升级、乐多多小吃拼盘
李小姐の猫咖啡馆(五角场店),￥66,小食拼盘、盆栽奶茶、蓝柠檬苏打
胡子大厨·超级小炒肉(杨浦尚浦中心店),￥48,超级小炒肉、手撕包菜、现炒鲜牛肉
MUMULAND(上海百联店),￥73,
磁盛天毛血旺(太平洋森活天地店),￥44,山城毛血旺、水晶猪肉滑毛血旺、江津酸菜鱼
月出猫猫·猫咖(江湾里Meet678店),￥55,撸猫猫、拿铁、燕麦奶咖啡
TOUCH泰奇罗曼(杨浦百联ZX店),￥42,草莓小方、北海道牛奶吐司面包、奶黄芋泥双响爆
秋炙煲仔饭(五角场店),￥46,腊味双拼煲仔饭、腊味三宝煲仔饭、黑椒牛肉煲仔饭
蓉串串成都冷锅串串香(政通路店),￥57,麻辣牛肉、香菜牛肉、自制麻辣汤锅锅
一番屋日本料理·铁板烧(蓝天宾馆店),￥56,照烧鸡排、味增汤、日式牛肉石锅定食
PHO MI 粉迷越南粉(尚浦汇店),￥52,河粉
成都你六姐·牛肉冒菜(上海黄兴大润发店),￥44,冰粉、牛肉香菜卷、午餐肉
必胜客(黄兴大润发店),￥51,鸡翅、牛排、超级至尊比萨（芝心普通装）
阿猫一条鱼餐厅,￥50,咸蛋黄鸡翅、玉米烙、农夫锅巴
渝和牛鲜牛肉火锅,￥68,现切鲜牛肉、现切吊龙、牛大骨原汤锅
蓝天宾馆诺瓦咖啡厅,￥48,咖啡、芝士蛋糕、超值下午茶
锦江都城酒店中餐厅,￥51,炸带鱼、蒜香小龙虾、干煎鲳鱼
CITY MART城市集市开心麻花(合生汇店),￥67,提篮桥葱油饼、现炸猪排咖喱饭加生鸡蛋、新鲜牛腩
泥货醉糟房·老上海卤味(黄兴路大润发店),￥47,熟醉大头虾、熏牛蛙、香糟鸭舌
祚炸鸡炒年糕·韩国料理(国定路店),￥66,双重芝士炸鸡、罗杰奶油炒年糕、甜辣炸鸡
新海诚作品咖啡,￥40,奶盖咖啡、缘分之始气泡饮、芒果美式
六福海南鸡饭(五角场店),￥42,海南鸡、鸡油饭、腐乳空心菜
AK28炸鸡SINCE1996(五角场店),￥43,半半炸鸡、雪花芝士炸鸡、LOTTE牛奶碳酸
老申沪羊肉,￥46,羊肉仔锅、羊肉串一把、羊汤光面
良食屯·现炒东北菜(城市集市合生汇店),￥57,锅包肉、东北麻酱大拉皮、招牌酱大骨
GOODSLOVE CAFE(上海五角场万达店),￥71,羽衣花见舞布丁酸奶碗、亚梦的守护蛋包包、唯世的皇冠汉堡
西北狼烧烤•龙虾•烤鱼(五角场店),￥64,烤鲶鱼、蒜泥茄子、金针菇
Dal Cuore 达可芮冰淇淋(大学路店),￥43,薄荷巧克力、开心果、黑巧
多彩贵州黔源贵州菜(同济大学店),￥78,怪噜饭、贵州辣子鸡、贵阳豆腐圆子
长海医院-海悦餐厅,￥46,
WOODY BAKER沃倍可(五角场ZX造趣场店),￥40,拿铁咖啡、蓝莓拿破仑蛋挞、美式咖啡
GODIVA(五角场万达广场店),￥43,GODIVA黑巧克力冰淇淋、草莓白巧克力软冰淇淋、精选巧克力礼盒16片装
小马烧烤(国定路店),￥67,羊肉串、馒头片、牛肉
缘聚湘菜馆(国济路店),￥79,有机鱼头王、干锅手撕包菜、农家小炒肉
上海哈尔滨食品厂(合生汇店),￥62,杏桃排、纯奶小蝴蝶酥、巧克力维纳斯
越拢味越南小馆•Tap That,￥51,熟牛肉凉拌檬粉、香茅鸡扒凉拌檬粉、牛腩汤粉
沪丰源(复华商业大厦店),￥80,牛肉粒烧年糕、香酥咸蹄膀、葱油金瓜丝
小山东家常菜(政民路店),￥51,拌老虎菜、鹅肝、辣子鸡
江西小炒(政通路店),￥42,招牌鸡爪、万州烤活鱼、瓦罐汤
钟记药膳鸡,￥47,药膳鸡小锅、药膳鸡火锅（大锅）、蒜香鸡中翅
久留米寿司(百联又一城店),￥41,三文鱼、寿司拼盆、关东煮
新疆特色喀什味道(国权路店),￥51,秘制羊肉串、牛肉串、烤馕
湘里铺子,￥65,辣椒炒肉、现炒鲜黄牛肉、湖南丝瓜
苏州羊肉馆(政通路店),￥54,白切羊肉面、红烧羊肉锅仔、羊肉汤
三好坞景观餐厅,￥68,红烧肉、石锅拌饭、豆腐汤
达美乐比萨(政立路店),￥53,美国风情土豆培根比萨、照烧风味牛肉土豆比萨、经典意式肉酱比萨
奔跑的寿司酱(国华广场店),￥52,福袋寿司、鳗鱼握、香松卷卷
钟记酸菜鱼(学府街步行街店),￥60,酸菜鱼、藤椒鱼、蒜香排骨
棒约翰比萨·意面(国华广场店),￥51,“0.1”超级棒约翰、圣诞安格斯牛肉盛宴披萨、奶油蘑菇汤
东北菜园·纯手工水饺(长海路店),￥50,锅包肉、五彩大拉皮、肉三鲜水饺
龙江府东北菜·铁锅炖,￥77,炖大鹅、锅包肉、东北大拉皮
柒月粉(大学路店),￥45,牛肉炒粉、白糖糕、三色茄子
马记人民公社东北菜(政恒路店),￥55,锅包肉、家常凉菜、排骨土豆炖豆角
香港美心(五角场店),￥45,美心原味蛋卷、抹茶迷你黄油酥饼、英伦风迷你黄油酥饼
磁盛天毛血旺(五角场店),￥62,藤椒香辣翅尖、麻辣牛肉酱豆腐、草原干层毛肚
许祥记港式烧腊,￥42,鼓油鸡、烧鸭双拼饭、烧腊双拼
丁義興(五角场店),￥54,酱香鸭、枫泾丁蹄
久久丫•火锅鲜卤(太平洋森活天地店),￥47,火锅卤鸭头、火锅卤大鸭腿、火锅卤牛皮豆干
川湘小厨(政熙路店),￥57,特色水煮鱼、干锅手撕包菜、口水鸡
山东菜馆(国和路店),￥76,羊肉白菜炖粉条、馒头、水煮花生米
农霸王地锅霸王鸡,￥57,招牌地锅鸡、白面饼、凉菜
张忙忙零食(上海杨浦五角场店),￥56,
味千拉面(上海国定路三号湾店),￥44,大骨浓汤猪软骨拉面、味千猪软骨春笋拉面、味千猪骨汤拉面
鱼众不同鸡公煲烤全鱼(国顺路店),￥77,重庆鸡公煲、成都香辣烤鱼、十三香螺丝
湘食汇湘菜馆(国权路店),￥62,农家小炒肉、小炒牛肉、干锅小黄鱼
萨莉亚意式餐厅(三号湾广场店),￥42,辣烤鸡翅、佩斯卡拉风味蒜香蜗牛、美味裙带丝色拉
老香齋(五角场店),￥40,老香斋芝士咸味蝴蝶酥、老香斋鸡仔饼、袜底酥
蓝村啤酒厂(五角场店),￥41,云湃巴伐利亚小麦、云湃百香果小麦、布鲁日小麦白啤精酿生啤
南苑大排档,￥44,手工羊肉串、手工牛肉串、烤鸡翅
申立春泉州牛排饭(五角场店),￥49,牛排
胖哥川菜馆(武东路店),￥56,回锅肉、水煮鱼、椒盐排条
上島咖啡(五角场店),￥63,黑椒牛柳饭、新鲜水果茶冰、上岛风味咖啡
美丽的新疆餐厅(学府街店),￥50,新疆手抓饭、新疆羊肉串、新疆炒粉
江西小炒(政通路2店),￥48,荷包蛋烧牛腩、川味腰花、小炒黄牛肉
欧味多(五角场万达店),￥55,蜜汁猪肉脯、鮟鱇鱼蝴蝶片、鲜鱿鱼条
三门餐厅(青石路店),￥56,响油鳝丝、剁椒鱼头、宫爆鸡丁
琦王花生(五角场合生汇店),￥41,招牌五香花生、红山雪葵、小核桃仁
TiTi超级牛扒(合生汇店),￥55,原切肋眼牛排、奶油蘑菇汤送蒜香面包、米星土豆泥
家常川湘菜(君庭公寓店),￥49,锅包肉、火爆护心肉、小炒黄牛肉
品之味369家常菜(青石路店),￥66,咸蛋黄排条、石锅自制豆腐、次方香芋
来伊份(合生汇店),￥73,芒果干、鱼豆腐、来伊份五香牛肉
鱼你在一起(三号湾广场店),￥43,招牌热炝酸菜鱼、老坛酸菜鱼、公举番茄鱼
喜鼎丰(五角场万达店),￥72,海胆水饺、虾汤泡饭、原汁海胆水饺
鱼众不同•活鱼现烤•纸包鱼·羊蝎子(国权路店),￥73,香辣烤鱼、鸡公煲、玉米烙
Maruko丸旨寿司(五角场店),￥39,海草军舰、maruko芝士虾丸子、Maruko鳗鱼卷
永昌永祥广式烧腊,￥64,至尊烧味煲仔饭、密味叉烧、烧鸭红肠双拼
来壹焗•盐焗零食(合生汇店),￥51,盐焗鸡脚筋、盐焗掌中宝、盐焗鸡中翅
王财神脆皮烤乳猪(国权路店),￥73,脆皮烤乳猪整
潮粥鲜·潮汕砂锅粥(五角场店),￥76,
新南疆羊肉串(国安路店),￥58,羊肉串、烤馕、羊腰子
棒约翰比萨·意面(上海汇锦里店),￥60,意式牛肉风味意面、金枕榴莲芝士条、培根满满比萨传统标准装
