name,avg_price,recommended_dishes
剪花娘子·凉皮(上海五角场万达店),￥35,老潼关肉夹馍、油泼BB面、秘制凉皮
阿佑鲜烫牛肉米线(五角场万达广场店),￥20,云南炸酱米线、牛筋丸、网红炸蛋
石膳家·石锅拌饭(国华广场店),￥34,泡菜煮拉面、肥牛辣豆腐汤、芝士牛肉石锅拌饭
大米先生(城市集市合生汇店),￥29,农家小炒肉、糖醋排骨、小炒黄牛肉
米村拌饭(太平洋森活天地店),￥33,烤牛肉拌饭、非遗石锅拌饭、香辣鱿鱼
Yee3·三号椰(五角场万达店),￥22,开心果椰子糖、芝士春山椰子糖、生椰抹茶
古春堂凉茶糖水铺(上海江湾里店),￥25,招牌MIX大满贯、手作莲子红豆沙、爆珠芒果双皮奶
DQ·蛋糕·冰淇淋(百联又一城店),￥26,巧克力圣代、大红袍奶茶口味冰淇淋、抹茶巴旦木暴风雪标料大杯
港师傅·菠萝包(太平洋森活天地店),￥18,香港经典菠萝包、经典原味鸡蛋仔、咸蛋黄鸡蛋仔
嘻小北·兰州清汤牛肉面(太平洋森活天地店),￥40,兰州清汤牛肉面、牛肉面、羊肉
1点点(合生汇店),￥17,冰淇淋红茶、红茶玛奇朵、四季奶青
子弹面馆(国霞路店),￥30,酱爆猪肝面、雪菜黄鱼面、炸猪排
YogurtDay酸奶(太平洋森活天地店),￥24,牛油果羽衣甘蓝、蓝莓物语、草莓覆盆子
满巍明生炸鸡架(五角场合生汇店),￥30,招牌生炸鸡架、生炸鸡腿肉、超级鸡叉骨
桂桂茶(五角场合生汇店),￥17,招牌冻柠茶、冻柠吨吨桶、原味鸡蛋仔
LINLEE林里·手打柠檬茶(城市集市合生汇店),￥19,招牌手打柠檬茶、鸭屎香手打柠檬茶、清新手打柠檬茶
港岛黄记,￥34,蜜汁叉烧、烧鸭、双拼饭
宝藏绿洲(上海五角场万达店),￥19,丛林草莓、柚见绿洲、芭乐萄
Master Fang罗宋坊(太平洋森活天地店),￥23,大海盐罗宋面包、海盐蒜香大罗宋、起司大罗宋
爷爷不泡茶 NOYEYENOTEA(上海太平洋森活天地店),￥16,荔枝冰酿、初恋玫瑰青提、空山栀子
贵阳糯米饭(复旦大学店),￥15,脆哨蛋黄香肠糯米饭、土豪全家福糯米饭、脆啃蛋黄辣子鸡糯米饭
曲印丰.锅贴生煎小笼,￥24,上海锅贴、经典鲜肉小馄饨、生煎
FOODBOWL超级碗(太平洋森活天地店),￥37,蜜汁鸡腿超级碗、果木烟熏鸡胸超级碗、香煎三文鱼超级碗
李时珍·膏方茶饮(太平洋森活天地店),￥21,石斛仙草茶、人参仙草茶、暴打石斛柠檬茶
喜米香港茶餐厅(太平洋森活天地店),￥40,黯然销魂叉烧蛋饭小份、招牌炸猪排煎蛋饭、港式柠檬茶
大食代美食广场(复旦管院店),￥28,胡一手牛肉大锅贴、青花椒魚(巴沙魚)、欣湘荟杀猪粉
柠季·手打柠檬茶(上海五角场万达店),￥16,传统手打柠檬茶（超 大杯）、泰绿柠檬茶、白桃乌龙柠檬茶
柠檬向右(百联又一城店),￥18,鸭屎香柠檬茶、九朵茉莉柠檬茶、雀舌花柠檬茶
米陀饭团(百联又一城店),￥17,海鸭咸蛋黄饭团、爆浆泡菜芝士饭团、酱爆芝士饭团
鸡柳大人(五角广场店),￥18,鸡柳薯条年糕三合一、空气年糕、香酥鸡柳
CoCo都可(五角场合生汇店),￥14,奶茶三兄弟、珍珠奶茶、鲜百香双响炮
81bakery(关山路店),￥40,红豆碱水包、碱水芝士、南瓜吐司
RISO(百联又一城店),￥40,核桃蔓越莓恰巴塔、黑芝麻贝果、海盐羊角
Nibuyogurt,￥34,姥姥的蒙古咸奶茶碗2.0、Nutella可可坚果花生碗
陳香貴·兰州牛肉面(国正中心店),￥32,牛骨清汤兰州牛肉面、钢钎羊肉串、酸菜牛肉面
小满手工粉(上海太平洋森活天地店),￥33,一口小酥肉、古早红糖糍粑、金汤酸菜鱼片手工粉
DQ·蛋糕·冰淇淋(国华广场店),￥26,巧克力脆皮双筒、曲奇饼干冰淇淋、抹茶巴旦木冰淇淋
鲜芋仙(百联ZX店),￥28,招牌烧仙草plus特供、招牌三芋米乳冰、酒酿小芋圆牛乳
星巴克(合生汇B1店),￥36,太妃榛果拿铁(大杯)、热焦糖玛奇朵、香草风味馥芮白
霸王茶姬(百联又一城店),￥21,伯牙茶弦、青青糯山、山野栀子
Blueglass酸奶(杨浦区大学路店),￥39,植物牛油果椰子燕麦分子爆珠酸奶、蓝天椰胶原益生菌分子爆珠酸奶、爱在当下.大胆VC阳光玫瑰葡萄
BreadTalk面包新语(合生国际店),￥30,松松、牛角尖、菠萝流沙包
楚山牛炒饭铺(五角场店),￥17,经典蛋炒饭、野山椒牛肉蛋炒饭、青椒肉丝蛋炒饭
春风松月楼(合生汇店),￥22,松子香菇烧麦、百年经典素菜包、豆沙
星巴克(五角场万达1F店),￥35,星巴克冷萃咖啡系列、抹茶可可碎片星冰乐、太妃榛果拿铁(大杯)
莉莲蛋挞(百联又一城店),￥23,马铃薯芝士蛋挞、特色葡式蛋挞、流心芝士挞
Potato Corner(上海杨浦太平洋森活天地店),￥27,酸奶油洋葱、奶香芝士、卷卷薯
阪枝屋·深海鱼糕(合生汇店),￥30,韩式鱿鱼炒年糕、三彩团子、花样年华深海鱼糕
筋的亨兰州纯汤牛肉面(五角场店),￥25,筋的亨招牌牛肉面、筋的亨牛肉拉面、五香卤鸡蛋
Peet's Coffee皮爷咖啡(江湾里店),￥38,拿铁咖啡、芝士分子拿铁、澳洲小白
辛一铜锣烧(合生汇店),￥24,奥利奥、芋泥芝士大福、招牌生乳酪
徐州彭城老郑烤肉筋,￥19,肉筋串饼、烤肉筋、三串烤肉筋面筋
Manner Coffee(合生汇店),￥23,拿铁、燕麦拿铁、燕麦澳白
醇朋友紫菜包饭(创智天地店),￥34,经典紫菜包饭、韩式炒年糕、牛肉乌冬面
复旦点心部,￥29,双皮奶、爆浆芝士小贝、烤肠
鲤李炖汤牛肉,￥33,福鼎肉燕、泉州老三样、安海菜粿
